"","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Status","Processing.Method","Fragrance...Aroma","Flavor","Aftertaste","Salt...Acid","Bitter...Sweet","Mouthfeel","Uniform.Cup","Clean.Cup","Balance","Overall","Defects","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"36","Vietnam","nông trại cà phê chín ea tân","1","ct coffee vn","","vietnam coffee & tea import export joint stock company","860","thôn quang trung, xã ea tân, huyện krong năng, tỉnh đăk lăk","CT COFFEE VN",10,"30 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","July 1st, 2025","ct coffee vn","","Completed","Natural Anaerobic Deep Fermentation",8.33,8.17,8.08,8.08,8,8,10,10,8,8.08,0,84.75,0.117,0,1,"Yellowish",0,"July 1st, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",860,860,860
"37","Thailand","phutawan farm","1","dry mill","-","phutawan robusta krabi","167","south","jaree",1,"8 kg","Specialty Coffee Institute of Thailand","2024 / 2025","August 26th, 2025","jaree manob","Mocha","Completed","Pulped natural / honey",8.17,8,7.92,8.08,8.08,8.17,10,10,8.17,8.17,0,84.75,0.106,0,0,"Greenish",0,"August 26th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",167,167,167
"38","Vietnam","công ty tnhh cà phê chất lượng cao lâm hà","R702","công ty tnhh cà phê chất lượng cao lâm hà","","cong ty tnhh ca phe chat luong cao lam ha","980-1100","hoài đức, lâm hà, lâm đồng","Nguyễn Hải Duyên Anh",60,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","cong ty tnhh ca phe chat luong cao lam ha","Búp tím","Completed","Natural / Dry",8.25,8.25,7.92,8,8.17,8.08,10,10,7.92,8.08,0,84.67,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",980,1100,1040
"39","Vietnam","công ty tnhh megarden coffee","R357","công ty tnhh megarden coffee","","megarden coffee","590","thôn 4, xã đắk miu, tp gia nghĩa, đắk nông","Vũ Thành An",6000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","megarden coffee","Mix","Completed","Natural / Dry",8.08,8,8,8,8.17,8.08,10,10,8,8.08,0,84.42,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",590,590,590
"40","Vietnam","công ty tnhh mtv rẫy rừng","R105","công ty tnhh mtv rẫy rừng","","ray rung limited company","1400","thôn đắk bờ rồ, xã đắk tăng, huyện kon plông, tỉnh kon tum","Bùi Lê Băng",1500,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","thang ho hoang minh","Mix","Completed","Natural / Dry",8.17,8,7.83,8.17,8.08,8,10,10,8,8.17,0,84.42,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",1400,1400,1400
"41","Thailand","tha khien farm","2025","hh dry mill","","horizon harvest","800-900","mae kha ning, wiang sa, nan","Khien",1,"20 kg","Specialty Coffee Institute of Thailand","2025","August 26th, 2025","chawanrat tengtriratana","Robusta","Completed","Natural / Dry",7.58,8,8,8.25,8.08,8.17,10,10,8.17,8.17,0,84.42,0.106,0,0,"Green",1,"August 26th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",800,900,850
"42","Vietnam","soul fine robusta","R358","soul fine robusta","","songlinh co., ltd","600-650","đắk lắk","Hứa Tiểu Linh",10000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","soul fine robusta vietnam","Xanh lùn","Completed","Natural / Dry",8.33,8.17,7.83,8.17,8,7.92,10,10,7.83,8.08,0,84.33,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",600,650,625
"43","Vietnam","song linh co., ltd","7","song linh","","songlinh co., ltd","650","buon ma thuot, dak lak","Soul Fine Robusta",20,"60 kg","HQJ Coffee School","2024 / 2025","April 7th, 2025","soul fine robusta vietnam","","Completed","Natural anaerobic",8.17,8.08,8,8,7.92,8,10,10,8,7.92,0,84.08,0.129,0,0,"Green",0,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",650,650,650
"44","Vietnam","công ty lan sơn lâm đồng","01","dry mill","","lan son lam dong company limited","900","hoài đức, lâm hà, lâm đồng","Lê Quang Tuấn",13,"60 kg","HQJ Coffee School","2020 / 2021","April 7th, 2025","le quang tuan","Robusta","Completed","Natural / Dry",8,8.08,8.08,8,7.83,8,10,10,8,7.92,0,83.92,0.109,0,0,"Green",0,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",900,900,900
"45","Vietnam","song linh co., ltd","6","song linh","","songlinh co., ltd","650","buon ma thuot, dak lak","Soul Fine Robusta",19,"60 kg","HQJ Coffee School","2024 / 2025","April 7th, 2025","soul fine robusta vietnam","","Completed","Pulped natural / honey",7.92,7.92,8,8.17,8.08,7.83,10,10,8,8,0,83.92,0.106,0,0,"Green",1,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",650,650,650
"46","Vietnam","firo group","FiRo anaerobic Natural 24/25","fine robusta vietnam","","fine robusta vietnam","500-600","gia lai","Fine Robusta Vietnam",5150,"60 kg","HQJ Coffee School","2024 / 2025","April 7th, 2025","firo academy","Heirloom","Completed","Anaerobic Natural",7.92,7.83,7.83,8.08,8.08,8,10,10,8,8,0,83.75,0.131,0,0,"Green",1,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",500,600,550
